order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
161,78192304.02,34.54629634,1.355162921,9.78E-08,10.6919598,-710.0534664,,0.001315859,-0.000792186,0.002827618,5.636044559
162,78159322.78,34.55525818,1.361850119,9.78E-08,10.72638191,-706.2752055,,0.00129691,-0.000843771,0.002446239,5.638490798
163,78124376.67,34.56409219,1.368586004,9.79E-08,10.76080402,-702.5407141,,0.001278081,-0.000894428,0.002070577,5.640561375
164,78087517.83,34.57280325,1.3753708,9.79E-08,10.79522613,-698.8451291,,0.001259973,-0.000943817,0.001705757,5.642267131
165,78048756.58,34.58137916,1.382201084,9.79E-08,10.82964824,-695.1877818,,0.001240115,-0.000993011,0.001332713,5.643599844
166,78008160.7,34.58983568,1.389079815,9.80E-08,10.86407035,-691.569697,,0.001222548,-0.001040541,0.000981223,5.644581067
167,77965759.23,34.59816809,1.396004954,9.80E-08,10.89849246,-687.9870375,,0.001204315,-0.001087399,0.000630016,5.645211083
168,77921590.7,34.6063793,1.402976488,9.81E-08,10.93291457,-684.4454803,,0.001186512,-0.001133345,0.000286353,5.645497437
169,77875696.84,34.61446981,1.409993979,9.81E-08,10.96733668,-680.9390167,,0.001168797,-0.001178297,-5.11E-05,5.6454463
170,77828116.71,34.62244564,1.417057621,9.82E-08,11.00175879,-677.4681679,,0.001151963,-0.001222324,-0.000378523,5.645067776
171,77778854.3,34.63028937,1.424163398,9.83E-08,11.0361809,-674.0329094,,0.001132623,-0.001266329,-0.000718837,5.644348939
172,77727991.98,34.6380266,1.431316012,9.83E-08,11.07060302,-670.6344744,,0.001116994,-0.001308298,-0.001027795,5.643321144
173,77675539.27,34.6456452,1.438512088,9.84E-08,11.10502513,-667.2638119,,0.001099623,-0.001350103,-0.001344749,5.641976395
174,77621539.27,34.65314964,1.44575199,9.85E-08,11.13944724,-663.9337303,,0.001082912,-0.001390883,-0.001652133,5.640324262
175,77566019.81,34.66053865,1.453034564,9.86E-08,11.17386935,-660.6335296,,0.001066024,-0.001431029,-0.001956518,5.638367744
176,77509023.03,34.66781817,1.460360738,9.86E-08,11.20829146,-657.3669576,,0.001050007,-0.001470173,-0.002250295,5.636117449
177,77450575.49,34.67498632,1.467729446,9.87E-08,11.24271357,-654.132001,,0.001033726,-0.001508717,-0.002541675,5.633575774
178,77390694.09,34.68203724,1.475138611,9.88E-08,11.27713568,-650.9284097,,0.001016613,-0.001546911,-0.002835011,5.630740764
179,77329440.18,34.68898552,1.48259084,9.89E-08,11.31155779,-647.7577053,,0.001001611,-0.001583606,-0.003108407,5.627632357
